"seed","mode","initial_loss","final_loss","loss_reduction_ratio","prediction_metric","cpu_reference_final_loss_difference","cpu_fallback","nan_inf","status"
"20260710","cpu","0.20629409","0.0473556593","","0.921955377","","false","false","SUCCESS"
"20260710","htp_fused_backward","0.20629409","0.047354605","","0.921817362","","false","false","SUCCESS"
"20260710","htp_full_step","0.20629409","0.0473548695","0.229550302","0.922161639","7.89761543e-07","false","false","SUCCESS"
"20260711","cpu","0.21397166","0.049751319","","0.988910377","","false","false","SUCCESS"
"20260711","htp_fused_backward","0.21397166","0.0497498065","","0.988775201","","false","false","SUCCESS"
"20260711","htp_full_step","0.21397166","0.0497480929","0.232498512","0.98895137","3.2261014e-06","false","false","SUCCESS"
"20260712","cpu","0.194742739","0.0492007881","","1.01960602","","false","false","SUCCESS"
"20260712","htp_fused_backward","0.194742739","0.0492015928","","1.01954126","","false","false","SUCCESS"
"20260712","htp_full_step","0.194742739","0.0492117405","0.252701283","1.02333102","1.09523535e-05","false","false","SUCCESS"
"20260713","cpu","0.200574115","0.0494005904","","0.957062066","","false","false","SUCCESS"
"20260713","htp_fused_backward","0.200574115","0.0494020432","","0.957193136","","false","false","SUCCESS"
"20260713","htp_full_step","0.200574115","0.0494109578","0.246347636","0.955908418","1.03674829e-05","false","false","SUCCESS"
"20260714","cpu","0.221746281","0.0496900715","","0.957201034","","false","false","SUCCESS"
"20260714","htp_fused_backward","0.221746281","0.0496893264","","0.957154244","","false","false","SUCCESS"
"20260714","htp_full_step","0.221746281","0.0496987291","0.224124297","0.959043264","8.65757465e-06","false","false","SUCCESS"
